"Opportunity 
Received On"	"Received
Time"	Company Name	CRM POC	Student Side Status	Hubspot Link	Student Response Sheet	Company Sheet	#Positions	"# Profile 
Requested"	# No .of Profiles shared	#Mapping Pool	# Eligible as per Pref	# Filled Form	# Interested	Date of Sharing Profiles	# shortlists	Company Status	Date  & Time of Process	Company Process Details	Screening Round/Telephonic Round	Assignement Round	TR 1	Next Process	Role	"Skills required 
(Must)"	"Skills required 
(Good to Have)"	Stipend	Location	Duration	Day & timings	Success Team_Company Feedback	Scheduled Date	Interview Process (e.g. TR, MR, Assessment)	Action Items	Hiring Intelligence 	RSA													
18-Jun-2026		Brandintellé	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61047777308/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1107860318	https://docs.google.com/spreadsheets/d/1k_I7toJpCdJ-a8udrAXhKgmHKq1PJf4Lz5wQTj-TCH8/edit?gid=0#gid=0	2	3	3							Yet To Schedule Interviews							GenAI			5k	Remote	6 Months	5 days a week, 10 AM - 5 PM																			
18-Jun-2026		Actionpackd	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61057563010/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=405209551	https://docs.google.com/spreadsheets/d/1UaztT4t2PKM2o7ILMOUYENPaIqSD_TYQctLTMX5Iy_I/edit?gid=95884983#gid=95884983	2	5	5							Yet To Schedule Interviews							AI Intern			15k to 20k	chennai	6 Months	6 days a week, 10 AM - 7 PM																			
18-Jun-2026		 2Care.ai	Keerthana	Sent interest Form													Yet To Schedule Interviews							Voice AI Intern	AI		15k to 20k	Banglore	4 to 6 Months	6 days a week, 9 AM - 6 PM																			
22-Jun-2026		PadosiAgent - AI Intern	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61292709816	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=406987256	https://docs.google.com/spreadsheets/d/1FDvu-W0Ji7luy6pROSkABADRnoqSI27x1tBYLhuNxxw/edit?gid=0#gid=0	2	4	4							Yet To Schedule Interviews							AI Intern	Gen AI	Python	5k	Remote	6 Months	5 days a week, 9 AM - 5 PM																			
22-Jun-2026		Lath Consultants	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61390479274/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=22718197	https://docs.google.com/spreadsheets/d/1lKn_Rpseov2SS0EPtsgqrazlwWz_AJQAEHUODDtUymc/edit?gid=0#gid=0	1	7	7							Yet To Schedule Interviews							AI Intern	Gen AI	Python	5k	Remote	3 - 6 Months	6 days a week (flexible (9 hours)																			
22-Jun-2026		Wilmarcs Motion Pictures	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60062682125	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=926712896	https://docs.google.com/spreadsheets/d/1K7AKtKqXjXuoUCSV7EoF7zhP_wCjQDTEJuAYcT5hE24/edit?gid=0#gid=0	1	5	5							Yet To Schedule Interviews							AI Engineer Intern	GenAI	Python	10k	Bengalure	6 Months	5 days a week, 9 AM - 6 PM																			
22-Jun-2026		GTMER	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/60970198058	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=568888886	https://docs.google.com/spreadsheets/d/1N6YloeFMQAFA0PSqN-P0MnFVN5_8i-pHZEKjuwAqjdA/edit?gid=95884983#gid=95884983	2	2	2							Yet To Schedule Interviews							Gen AI	Gen AI	Python	17k to 18k	Remote	6 Months	6 days a week, 10 AM - 7 PM																			
23-Jun-2026		Blurgs AI	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61355916303/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=886482684	https://docs.google.com/spreadsheets/d/18h3wnHi7DaET1HT__lknbjo23IPmhC5mn_20cJZIn0k/edit?gid=0#gid=0	2	5	5							Yet To Schedule Interviews							SDE Intern	 ReactJs, FastAPI, TypeScript		20k-25k	Hyderabad	6 Months	6 days a week, 9 AM - 6 PM																			
23-Jun-2026	4:17	EvolutionCo	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61326369084/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1514008067	https://docs.google.com/spreadsheets/d/1r6VguFb2G3dewB4BOMM21LWoLhOYiKLjULxzrCvhU0s/edit?gid=0#gid=0	2	8	3							Yet To Schedule Interviews							Frontend Intern	MERN Full Stack, React.js		10k	Mumbai	6 Months	5 days a week, 9 AM - 6 PM																			
24-Jun-2026	12:36	Jack	Akshitha	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61507409839	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1698120971		2	4	4														Backend Intern	Node.js		5k	Remote	6 Months	6 days a week, 10 AM - 7 PM																			
24-Jun-2026	11:45	Herdsman Development	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61465678091/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=518926854	https://docs.google.com/spreadsheets/d/1GwdZir7g_SvMxLO5oHz3hvVZqR5j4WDH9QkStMEa0rA/edit?gid=0#gid=0	1	2	2														Full stack intern	React.js, Node.js, MongoDB		15k	Remote	6 Months	6 days a week, 9 AM - 6 PM																			
25-Jun-2026		operationcost	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61507414929/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1840473838	https://docs.google.com/spreadsheets/d/1pEd4l9vHvo6CI7SMNGaQIVYCyQSboblNkEJ9R6fRYb0/edit?gid=95884983#gid=95884983	2	3	5														Fullstack Intern	React.js, Node.js, MongoDB		10k	Remote	6 Months	6 days a week, 9 AM - 6 PM																			
25-Jun-2026		 Gocomet	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61390539920/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1702265824	https://docs.google.com/spreadsheets/d/1eu2U35qwK47sBlLbMqHesVOFFDnHCRszxqgxZrVaYhE/edit?gid=0#gid=0	2	4	6														Fullstack Intern	React.js, Node.js, MongoDB		30k to 35k	Bengaluru	12 Months	5 days a week, 9 AM - 6 PM																			
26-Jun-2026		StoryMirror	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61625444461/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2072222469	https://docs.google.com/spreadsheets/d/1ME2S0fKFRw-8I5_HxHLi1LQRkDanXHTd9IzbX6rwntc/edit?gid=0#gid=0	2	4	3														AI Intern	Gen AI	Python	15k	Mumbai	6 Months	5 days a week, 9 AM - 6 PM																			
27-Jun-2026		Early Jobs	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61625223269/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=725767424#gid=725767424	https://docs.google.com/spreadsheets/d/1IzVJhGo4dQeVjegIuwHSAFo86mbI4neIxtsMOdxw_r4/edit?gid=0#gid=0	1	4	5														Full stack intern	React.js, Node.js, Express Js MongoDB		15K	Bengaluru	6 Months	6 days a Week, 10AM - 7PM																			
27-Jun-2026		Code Driven Labs	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61625596804/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=416096485#gid=416096485	https://docs.google.com/spreadsheets/d/1v3VQuW6A8cK8oO-FBAlkfCGsNWfpZDogd0R2Q41FoZk/edit?usp=sharing	2	4	4														AI Intern	Gen AI		10K	Remote	6 Months	6 days a Week, 10AM - 7PM																			
29-Jun-2026		Foto Owl		Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61650780199/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1338323079#gid=1338323079	https://docs.google.com/spreadsheets/d/16_JT8sBABTK7Qt2kIcaoNn4JR7_LIjm2nZ4cqUsBYlU/edit?gid=95884983#gid=95884983&range=A1	2	2	4														Gen AI																									
29-Jun-2026		Cygnus Voyages Private Limited		Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61650792448/		https://docs.google.com/spreadsheets/d/11uZk2PRI5PANzUto6AiBpRhbcIEHbwBkAsU_4-jatfU/edit?gid=0#gid=0	1	3	3														AI/ML																									
29-Jun-2026		Startup khata	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61733303040/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1208443007#gid=1208443007	https://docs.google.com/spreadsheets/d/1wZCnxx5thoDWdNN0uyALyd3hjHx5CpbApbFWzVDRJNI/edit?usp=sharing	2	4	2														AI Intern	Gen AI , Python		5k	Remote	6 Months	 6 days a week, 10 AM - 7 PM																			
30-Jun-2026		Cooterlabs	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61749701479/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2089838121	https://docs.google.com/spreadsheets/d/1-TV4jnjXnFLuAvNCHzmVIUrxOMPynrEV_WLCnU_9DiA/edit?usp=sharing	2	6	4														Full stack intern	React.js, Node.js, MongoDB, Express.js		5k	Remote	6 Months	5 days a week, 2 PM to 12 AM																			
30-Jun-2026		New Age	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61601069403/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1232536084	https://docs.google.com/spreadsheets/d/1SaB34BiAF-4x2XdBIwkbTwXF7LouGxs9Aeg3TCjdOE0/edit?usp=sharing	1	3	5														AI Intern	GenAI, Python		10k	Remote	2 Months	5 days a week, 9 AM - 6 PM																			
30-Jun-2026		Logix Infotech LLP	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61743994009/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1074141172#gid=1074141172	https://docs.google.com/spreadsheets/d/1jnEA1O17-rdvIcTI-XyGzG0Gj8A2R-uNxXpuqoAnRMA/edit?gid=0#gid=0	3	12	4														SDE Intern	React.js	python	5k	Remote	2 Months	5 days a week, 9 AM - 6 PM																			
1-Jul-2026	11:43	Bluesprings Innovation	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61873139765/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=402301788#gid=402301788	https://docs.google.com/spreadsheets/d/1Sc5rgkJ8gv9nXigV3s6ywwZeDIvcNzSPuLGLBAc1jiE/edit?gid=0#gid=0	2	6	5														AI intern
	GenAI, Python, LLM, RAG	JavaScript	10K	Hyderabad	6 Months	6 days a week, 10 to 7																			
1-Jul-2026	5:26	Dental Stack	Akshita	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61946881911/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?resourcekey=&gid=1456505559#gid=1456505559	https://docs.google.com/spreadsheets/d/1-dcD7t7lz53X2v9aaRxEw5COMQAZkKqnO54kKtWbSRo/edit?usp=sharing	2	5	2														AI Native Intern	 AI/ML, GenAI		15,000 – ₹25,000	Mumbai	6 Months	 5 days a week, 10 AM – 7 PM																			
2-Jul-2026		 Mage Data	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61917070633	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=2062507812	https://docs.google.com/spreadsheets/d/1aURMFRtb8S75hMMFUr-mcJUBKTJ5YJyfZHUcdxmpg4I/edit?usp=sharing	5	6	6														MERN Intern	 React.js, Node.js, GenAI, Python		15k	Remote	12 Months	 5 days a week, 10 AM – 7 PM																			
4-Jul-2026		Amber	Lokesh 	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62121542515/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1628332475#gid=1628332475	https://docs.google.com/spreadsheets/d/1UnhU_k-uxcRpHQeHduACfbUec3UCtHhj9fIQ9e9ouFg/edit?gid=95884983#gid=95884983	2	3	3															AI/ML, GenAI, Agentic AI		15,000 – ₹25,000	Pune	6 Months	5 days a week, 9-6																			
6-Jul-2026		 Live Your Best Life	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61775304551/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=722171769#gid=722171769	https://docs.google.com/spreadsheets/d/1hS5M06Wb4baLJ0mDpK13lbu2y4bzNjQPii9JZNdLB_8/edit?gid=0#gid=0	2	8	8														SDE  Intern 	Python, ReactJS, SQL		 12000-15000	Remote	6 Months	5 days a week, 9-6																			
6-Jul-2026		Moksha Media Group	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62093921386/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=2032712053#gid=2032712053	https://docs.google.com/spreadsheets/d/1q3-S40UbfdgFpdB_jwMSu6W9QaF73Jtg5aomjNgP75w/edit?usp=sharing	2	8	8														AI Intern 	GenAI		10000-15000	Bengaluru	6 Months	5 days a week, 9-6																			
6-Jul-2026		 Revocept Solutions	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/61206501430/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1702226182#gid=1702226182	https://docs.google.com/spreadsheets/d/1va6q23_H5ILP8IzCvWwmA5eSOrZHxt3xnHZDM088j1A/edit?gid=0#gid=0	2	8	8														AI Intern 	 GenAI, Python, SQL		5,000-10,000	"Remote
Bengaluru"	6 Months	5 days a week, 9-6																			
6-Jul-2026		Technotask	Lokesh 	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62115338252/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1101562732#gid=1101562732	https://docs.google.com/spreadsheets/d/1DEhFW6wEeoQHmGokUlhpMU6OiBfyGqQrg8Hx6xWyhhM/edit?usp=sharing	5	10	10														AI engineer	 GenAI, Python, SQL		10,000	Hyderabad	6 Months	5 days a week, 9-6																			
7-Jul-2026		Sysdevcode Technologies Pvt Ltd - New Deal	Kathyayini	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62045315624/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=919313973	https://docs.google.com/spreadsheets/d/1KmsJdx8cQjhSYW7DasMuSL-cJDV_LXKbiHiZ-nlj5D0/edit?gid=0#gid=0	2	5	6														Mern Intern	React.js , Node.Js		15k to 20k	Remote	3 to 6 Months	5 days a week, 9-5																			
7-Jul-2026		Ascentium India	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62121546774?eschref=%2Fcontacts%2F44403767%2Frecord%2F0-2%2F56468338264%3Feschref%3D%252Fcontacts%252F44403767%252Frecord%252F0-3%252F62115452786%252F		https://docs.google.com/spreadsheets/d/1K-bBlrmEdJlXAk_LHBrtqUAzHrRq3n044ixVo0Uayms/edit?gid=95884983#gid=95884983&range=A1	1	5	5														Mern Intern	React.js , Node.Js , Express.js , MongoDB , Type Script , Fast APIS , Tailwinds		12k to 20k	Mumbai	12 Months	5 days a week, 10 to 6:30																			
7-Jul-2026		Ascentium India	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62115452786/		https://docs.google.com/spreadsheets/d/1K-bBlrmEdJlXAk_LHBrtqUAzHrRq3n044ixVo0Uayms/edit?gid=2104999825#gid=2104999825	1	4	4														CRM Intern	Power BI , Python , Zoho Creator 		12k to 20k	Mumbai	12 Months	5 days a week, 10 to 6:30																			
7-Jul-2026		Ascentium India	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62115451143		https://docs.google.com/spreadsheets/d/1K-bBlrmEdJlXAk_LHBrtqUAzHrRq3n044ixVo0Uayms/edit?gid=1066853642#gid=1066853642	1	4	4														Technology Analyst	Python , Rest APIs		12k to 20k	Mumbai	12 Months	5 days a week, 10 to 6:30																			
7-Jul-2026		FIXL SOLUTIONS	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62045439555/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1151996668	https://docs.google.com/spreadsheets/d/1uYEZ9kATIA_hd2MuaK5EpnVuBZqi2lBG_Z_F7agbRUk/edit?usp=sharing	1	Any	5														Mern Intern	React.js , Node.Js , Express.js , MongoDB		10k to 12k	Jaipur	6 Months	5 days a week, 9-6																			
7-Jul-2026		 FarmLokal	Keerthana	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62121976236/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=1561020137#gid=1561020137	https://docs.google.com/spreadsheets/d/13y8SW7wzTSi2gwGASp9myP9VjR-kBJE6efIp6wgf-oI/edit?gid=0#gid=0	2	6	7														Full stack intern	React.js, Node.js, MongoDB, Express.js		3k to 6k	Remote	3 to 6 Months	 6 days a week, 10 AM - 7 PM																			
7-Jul-2026		Arohi Asset Management	Akshitha	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/62121976236/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=570470045	https://docs.google.com/spreadsheets/d/10oP2sn1e9Txrln3_83Mp1yGZ7nWEraA-L9DpfTKOO4Q/edit?gid=95884983#gid=95884983	2	4	5														AI	Gen AI , Agentic AI , Python , AI/ ML		15k	Mumbai	6 Months	5 days a week, 9-6																			
7-Jul-2026		BizNeuro AI	Lokesh	Shared Profiles with CRM	https://app.hubspot.com/contacts/44403767/record/0-3/62289148281	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1868584154	https://docs.google.com/spreadsheets/d/1AYxCj682QPNUjGoD8ZzE2BFc5hvw_TF8cvIvDDAuypw/edit?usp=sharing	2	5															AI Engineer	AI/ML		25k	Remote	6 Months	6 days a week																			
8-Jul-2026		TechWire Studio	Lokesh	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/62121830730/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI/edit?gid=2113554337#gid=2113554337		2	6																React, PostgreSQL		5k	Remote	6 Months	6 days a week																			
8-Jul-2026		MECNTEC	Keerthana	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/62115593510/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=8619595		1	3															SDE Intern	React.js, Node.js, REST APIs, MongoDB		15k	Bengaluru	6 Months	6 days a week, 9 AM - 6 PM																			
8-Jul-2026		Fango	Akshitha	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/62364304746		https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1659434612	2	5															SDE Intern	Python		10k 	Bengaluru	6 Months	5 days a week, 10 AM - 6 PM																			
8-Jul-2026		AssuredGain Financial Service	Akshitha	Sent interest Form	https://app.hubspot.com/contacts/44403767/record/0-3/62395633217/	https://docs.google.com/spreadsheets/d/1QIP5P-QzR63NtLxfsT9kx5ZB_QyETdCk1QTeT125IPI#gid=1669452006		2	3															AI Intern	AI/ML, GenAI		15k	Bengaluru	6 Months	6 days a week, 10 AM - 7 PM																			
